Comment,Designator,Footprint,LCSC,Quantity
0.47uF,"C27,C28",C_0603_1608Metric,C1623,2
1.13k,R24,R_0402_1005Metric,C67014,1
1.1k,R23,R_0402_1005Metric,C25860,1
1.5M,R19,R_0402_1005Metric,C11812,1
1.5k,"R25,R26",R_0402_1005Metric,C25867,2
1000uF,C6,CP_Elec_8x10.5,C5686929,1
100k,"R27,R29,R31",R_0402_1005Metric,C25741,3
100n,"C10,C11,C14,C15,C21",C_0402_1005Metric,C77020,5
100nF,"C25,C37,C38,C39,C7,C8",C_0402_1005Metric,C1525,6
100nF,"C26,C29,C5",C_0603_1608Metric,C1590,3
10k,"R12,R13,R16,R17",R_0402_1005Metric,C25744,4
10nF,C34,C_0402_1005Metric,C57112,1
10u,"C16,C17,C18,C19,C20,C22,C24,C3,C32,C4",C_0603_1608Metric,C19702,10
150n,C13,C_0402_1005Metric,C162182,1
1M,R15,R_0402_1005Metric,C26083,1
1k,"R28,R32",R_0402_1005Metric,C11702,2
1u,"C1,C12,C2,C23,C9",C_0402_1005Metric,C52923,5
1uF,"C30,C31",C_0603_1608Metric,C15849,2
200k,R18,R_0402_1005Metric,C25764,1
20k,"R21,R22",R_0805_2012Metric,C4328,2
220R,"R20,R6",R_0603_1608Metric,C22962,2
22R,"R1,R2,R3,R4,R5",R_0402_1005Metric,C25092,5
22k,R30,R_0402_1005Metric,C25768,1
22µF,C36,C_0603_1608Metric,C59461,1
33R,"R7,R8",R_0603_1608Metric,C23140,2
4.7uF,"C33,C35",C_0603_1608Metric,C1705,2
49.9k,R14,R_0402_1005Metric,C100457,1
5.1k,"R10,R9",R_0402_1005Metric,C25905,2
74AHCT1G125,"U15,U16",SOT-23-5,C7484,2
74LVC1G17,U14,SOT-23-5,C7836,1
74LVC2G14,U5,SOT-23-6,C12401,1
929870-01-12-RA,"J28,J29,J30,J31",3M_929870-01-12-RA_Assembly,C20926467,4
AudioJack3_Ground,"J17,J3",CUI_SJ1-3533,C4991776,2
AudioJack3_Switch,"J1,J5,J6,J7",Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,C368502,4
BAT54J,D1,D_SOD-323F,C130415,1
BQ24075TRGTR,IC1,QFN50P300X300X100-17N-D,C544783,1
Conn_01x02,"J10,J16,J25,J26,J27",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337,5
Conn_01x03,J9,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,C131339,1
Conn_01x05,"J11,J11.5,J12,J13,J14,J15",JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,C157993,6
Conn_01x05_Socket,"J18,J19,J2,J20,J21,J22,J23,J24",PinSocket_1x05_P2.54mm_Vertical,C50950,8
D_Schottky_Dual_Series_ACK,D2,SOT-23,C171786,1
EG2219,S1,EG2219,C3664594,1
Micro_SD_Card,J8,microSD_HC_Hirose_DM3BT-DSF-PEJS,C597972,1
Microphone_Condenser,MK1,MIC-TH_BD6.0-P1.90-D0.4-L-FD,C529951,1
PAM8403D,U13,SOIC-16_3.9x9.9mm_P1.27mm,C17337,1
Red,D4,LED_0402_1005Metric,C71911,1
SGTL5000XNBA3,U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,C5196742,1
SPX3819M5-L-1-8,U2,SOT-23-5,C24639,1
SPX3819M5-L-3-3,"U1,U7",SOT-23-5,C9055,2
TLP2361V4_E,U4,5pin SO6_TOS,C107626,1
TPS22918DBVR,U8,SOT95P280X145-6N,C131941,1
USB_C_Receptacle_USB2.0,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
YZP0354-20100-01,"CN1,CN2",YZP0354-20100-01,C5157282,2
Yellow,D5,LED_0402_1005Metric,C74342,1
